id,category,hook_text
63,Question,"¿Qué es lo más desafiante de trabajar en [industria]?"
64,Question,"¿Cómo gestionas tu tiempo como desarrollador?"
65,Question,"¿Qué herramienta no puede faltar en tu stack diario?"
66,Question,"¿Qué hábito ha mejorado tu productividad?"
67,Question,"¿Qué error te enseñó la mayor lección profesional?"
68,Question,"¿Cuál fue tu mayor aprendizaje trabajando con [tecnología]?"
69,Question,"¿Qué piensas sobre [tendencia actual]?"
70,Question,"¿Qué consejo le darías a alguien que recién empieza?"

71,Data,"El 80% de los proyectos fallan por esta razón..."
72,Data,"Más del 60% de los desarrolladores cometen este error."
73,Data,"Un estudio reciente muestra que [dato]."
74,Data,"Según [fuente], esto es lo que está funcionando ahora."
75,Data,"Los datos no mienten: esto es lo que funciona."
76,Data,"La mayoría de las publicaciones virales tienen esto en común."
77,Data,"Según LinkedIn, las publicaciones con [tipo de contenido] tienen más interacción."
78,Data,"Un estudio de [empresa] revela la clave para crecer profesionalmente."
79,Data,"Esto es lo que muestran las estadísticas sobre [tema]."
80,Data,"Los datos respaldan esta estrategia."

81,Contrarian,"No necesitas más cursos, necesitas esto."
82,Contrarian,"Deja de buscar el stack perfecto."
83,Contrarian,"El multitasking no te hace más productivo."
84,Contrarian,"No todo necesita inteligencia artificial."
85,Contrarian,"Deja de seguir modas y enfócate en fundamentos."
86,Contrarian,"El secreto no es trabajar más, es trabajar mejor."
87,Contrarian,"No necesitas ser experto en todo."
88,Contrarian,"Aprender más no siempre es la respuesta."
89,Contrarian,"No necesitas reinventar la rueda."
90,Contrarian,"Deja de compararte y empieza a construir."

91,Storytelling,"Te cuento una historia que cambió mi forma de trabajar..."
92,Storytelling,"Hace unos años cometí un error que me marcó..."
93,Storytelling,"Recuerdo mi primer día como desarrollador..."
94,Storytelling,"Un cliente me enseñó una lección que nunca olvidé."
95,Storytelling,"Una vez fallé en un proyecto importante, y esto fue lo que aprendí."
96,Storytelling,"Esta experiencia me cambió como profesional."
97,Storytelling,"Lo que parecía un fracaso terminó siendo una oportunidad."
98,Storytelling,"Te comparto una historia corta sobre liderazgo técnico."
99,Storytelling,"Un mentor me dio este consejo que cambió mi carrera."
100,Storytelling,"Esto pasó en mi primer trabajo, y nunca lo olvidé."
